tmean,j_day
20.79,1657
20.79,1658
20.79,1659
20.79,1660
20.79,1661
20.79,1662
20.79,1663
20.79,1664
20.79,1665
20.79,1666
20.79,1667
20.79,1668
20.79,1669
20.79,1670
20.79,1671
20.79,1672
20.09,1673
20.09,1674
20.09,1675
20.09,1676
20.09,1677
20.09,1678
20.09,1679
20.09,1680
20.09,1681
20.09,1682
20.09,1683
20.09,1684
20.09,1685
20.09,1686
20.09,1687
20.09,1688
20.09,1689
20.09,1690
20.09,1691
20.09,1692
20.09,1693
20.09,1694
20.09,1695
20.09,1696
20.09,1697
20.09,1698
20.09,1699
20.09,1700
20.09,1701
20.09,1702
20.09,1703
16.23,1704
16.23,1705
16.23,1706
16.23,1707
16.23,1708
16.23,1709
16.23,1710
16.23,1711
16.23,1712
16.23,1713
16.23,1714
16.23,1715
16.23,1716
16.23,1717
16.23,1718
16.23,1719
16.23,1720
16.23,1721
16.23,1722
16.23,1723
16.23,1724
16.23,1725
16.23,1726
16.23,1727
16.23,1728
16.23,1729
16.23,1730
16.23,1731
16.23,1732
16.23,1733
9.82,1734
9.82,1735
9.82,1736
9.82,1737
9.82,1738
9.82,1739
9.82,1740
9.82,1741
9.82,1742
9.82,1743
9.82,1744
9.82,1745
9.82,1746
9.82,1747
9.82,1748
9.82,1749
9.82,1750
9.82,1751
9.82,1752
9.82,1753
9.82,1754
9.82,1755
9.82,1756
9.82,1757
9.82,1758
9.82,1759
9.82,1760
9.82,1761
9.82,1762
9.82,1763
9.82,1764
4.21,1765
4.21,1766
4.21,1767
4.21,1768
4.21,1769
4.21,1770
4.21,1771
4.21,1772
4.21,1773
4.21,1774
4.21,1775
4.21,1776
4.21,1777
4.21,1778
4.21,1779
4.21,1780
4.21,1781
4.21,1782
4.21,1783
4.21,1784
4.21,1785
4.21,1786
4.21,1787
4.21,1788
4.21,1789
4.21,1790
4.21,1791
4.21,1792
4.21,1793
4.21,1794
-0,1795
-0,1796
-0,1797
-0,1798
-0,1799
-0,1800
-0,1801
-0,1802
-0,1803
-0,1804
-0,1805
-0,1806
-0,1807
-0,1808
-0,1809
-0,1810
-0,1811
-0,1812
-0,1813
-0,1814
-0,1815
-0,1816
-0,1817
-0,1818
-0,1819
-0,1820
-0,1821
-0,1822
-0,1823
-0,1824
-0,1825
-0,1826
-0,1827
-0,1828
-0,1829
-0,1830
-0,1831
-0,1832
-0,1833
-0,1834
-0,1835
-0,1836
-0,1837
-0,1838
-0,1839
-0,1840
-0,1841
-0,1842
-0,1843
-0,1844
-0,1845
-0,1846
-0,1847
-0,1848
-0,1849
-0,1850
-0,1851
-0,1852
-0,1853
-0,1854
-0,1855
-0,1856
-0,1857
-0,1858
-0,1859
-0,1860
-0,1861
-0,1862
-0,1863
-0,1864
-0,1865
-0,1866
-0,1867
-0,1868
-0,1869
-0,1870
-0,1871
-0,1872
-0,1873
-0,1874
-0,1875
-0,1876
-0,1877
-0,1878
-0,1879
-0,1880
-0,1881
-0,1882
-0,1883
-0,1884
0.26,1885
0.26,1886
0.26,1887
0.26,1888
0.26,1889
0.26,1890
0.26,1891
0.26,1892
0.26,1893
0.26,1894
0.26,1895
0.26,1896
0.26,1897
0.26,1898
0.26,1899
0.26,1900
0.26,1901
0.26,1902
