day,stage,pop,age_group,process,infected
30,qua,0,a,q,FALSE
30,qun,0,n,q,FALSE
31,__e,27694.094139461668,e,_,FALSE
31,eil,0,l,e,TRUE
31,eul,0,l,e,FALSE
31,d_l,0,l,d,FALSE
31,f_l,0,l,f,FALSE
31,ein,0,n,e,TRUE
31,eun,0,n,e,FALSE
31,din,0,n,d,TRUE
31,dun,0,n,d,FALSE
31,fin,0,n,f,TRUE
31,fun,0,n,f,FALSE
31,h_l,0,l,h,FALSE
31,q_l,0,l,q,FALSE
31,eua,0,a,e,FALSE
31,eia,0,a,e,TRUE
31,fia,0,a,f,TRUE
31,fua,0,a,f,FALSE
31,dia,0,a,d,TRUE
31,dua,0,a,d,FALSE
31,qia,0,a,q,TRUE
31,qin,0,n,q,TRUE
31,qua,0,a,q,FALSE
31,qun,0,n,q,FALSE
32,__e,27694.094139461668,e,_,FALSE
32,eil,0,l,e,TRUE
32,eul,0,l,e,FALSE
32,d_l,0,l,d,FALSE
32,f_l,0,l,f,FALSE
32,ein,0,n,e,TRUE
32,eun,0,n,e,FALSE
32,din,0,n,d,TRUE
32,dun,0,n,d,FALSE
32,fin,0,n,f,TRUE
32,fun,0,n,f,FALSE
32,h_l,0,l,h,FALSE
32,q_l,0,l,q,FALSE
32,eua,0,a,e,FALSE
32,eia,0,a,e,TRUE
32,fia,0,a,f,TRUE
32,fua,0,a,f,FALSE
32,dia,0,a,d,TRUE
32,dua,0,a,d,FALSE
32,qia,0,a,q,TRUE
32,qin,0,n,q,TRUE
32,qua,0,a,q,FALSE
32,qun,0,n,q,FALSE
33,__e,27694.094139461668,e,_,FALSE
33,eil,0,l,e,TRUE
33,eul,0,l,e,FALSE
33,d_l,0,l,d,FALSE
33,f_l,0,l,f,FALSE
33,ein,0,n,e,TRUE
33,eun,0,n,e,FALSE
33,din,0,n,d,TRUE
33,dun,0,n,d,FALSE
33,fin,0,n,f,TRUE
33,fun,0,n,f,FALSE
33,h_l,0,l,h,FALSE
33,q_l,0,l,q,FALSE
33,eua,0,a,e,FALSE
33,eia,0,a,e,TRUE
33,fia,0,a,f,TRUE
33,fua,0,a,f,FALSE
33,dia,0,a,d,TRUE
33,dua,0,a,d,FALSE
33,qia,0,a,q,TRUE
33,qin,0,n,q,TRUE
33,qua,0,a,q,FALSE
33,qun,0,n,q,FALSE
34,__e,27694.094139461668,e,_,FALSE
34,eil,0,l,e,TRUE
34,eul,0,l,e,FALSE
34,d_l,0,l,d,FALSE
34,f_l,0,l,f,FALSE
34,ein,0,n,e,TRUE
34,eun,0,n,e,FALSE
34,din,0,n,d,TRUE
34,dun,0,n,d,FALSE
34,fin,0,n,f,TRUE
34,fun,0,n,f,FALSE
34,h_l,0,l,h,FALSE
34,q_l,0,l,q,FALSE
34,eua,0,a,e,FALSE
34,eia,0,a,e,TRUE
34,fia,0,a,f,TRUE
34,fua,0,a,f,FALSE
34,dia,0,a,d,TRUE
34,dua,0,a,d,FALSE
34,qia,0,a,q,TRUE
34,qin,0,n,q,TRUE
34,qua,0,a,q,FALSE
34,qun,0,n,q,FALSE
35,__e,27694.094139461668,e,_,FALSE
35,eil,0,l,e,TRUE
35,eul,0,l,e,FALSE
35,d_l,0,l,d,FALSE
35,f_l,0,l,f,FALSE
35,ein,0,n,e,TRUE
35,eun,0,n,e,FALSE
35,din,0,n,d,TRUE
35,dun,0,n,d,FALSE
35,fin,0,n,f,TRUE
35,fun,0,n,f,FALSE
35,h_l,0,l,h,FALSE
35,q_l,0,l,q,FALSE
35,eua,0,a,e,FALSE
35,eia,0,a,e,TRUE
35,fia,0,a,f,TRUE
35,fua,0,a,f,FALSE
35,dia,0,a,d,TRUE
35,dua,0,a,d,FALSE
35,qia,0,a,q,TRUE
35,qin,0,n,q,TRUE
35,qua,0,a,q,FALSE
35,qun,0,n,q,FALSE
36,__e,27694.094139461668,e,_,FALSE
36,eil,0,l,e,TRUE
36,eul,0,l,e,FALSE
36,d_l,0,l,d,FALSE
36,f_l,0,l,f,FALSE
36,ein,0,n,e,TRUE
36,eun,0,n,e,FALSE
36,din,0,n,d,TRUE
36,dun,0,n,d,FALSE
36,fin,0,n,f,TRUE
36,fun,0,n,f,FALSE
36,h_l,0,l,h,FALSE
36,q_l,0,l,q,FALSE
36,eua,0,a,e,FALSE
36,eia,0,a,e,TRUE
36,fia,0,a,f,TRUE
36,fua,0,a,f,FALSE
36,dia,0,a,d,TRUE
36,dua,0,a,d,FALSE
36,qia,0,a,q,TRUE
36,qin,0,n,q,TRUE
36,qua,0,a,q,FALSE
36,qun,0,n,q,FALSE
37,__e,27694.094139461668,e,_,FALSE
37,eil,0,l,e,TRUE
37,eul,0,l,e,FALSE
37,d_l,0,l,d,FALSE
37,f_l,0,l,f,FALSE
37,ein,0,n,e,TRUE
