host_spp,j_day,host_den
mouse,361,40
squirrel,361,8
deer,361,0.25
mouse,362,40
squirrel,362,8
deer,362,0.25
mouse,363,40
squirrel,363,8
deer,363,0.25
mouse,364,40
squirrel,364,8
deer,364,0.25
mouse,365,40
squirrel,365,8
deer,365,0.25
mouse,366,40
squirrel,366,8
deer,366,0.25
mouse,367,40
squirrel,367,8
deer,367,0.25
mouse,368,40
squirrel,368,8
deer,368,0.25
mouse,369,40
squirrel,369,8
deer,369,0.25
mouse,370,40
squirrel,370,8
deer,370,0.25
mouse,371,40
squirrel,371,8
deer,371,0.25
mouse,372,40
squirrel,372,8
deer,372,0.25
mouse,373,40
squirrel,373,8
deer,373,0.25
mouse,374,40
squirrel,374,8
deer,374,0.25
mouse,375,40
squirrel,375,8
deer,375,0.25
mouse,376,40
squirrel,376,8
deer,376,0.25
mouse,377,40
squirrel,377,8
deer,377,0.25
mouse,378,40
squirrel,378,8
deer,378,0.25
mouse,379,40
squirrel,379,8
deer,379,0.25
mouse,380,40
squirrel,380,8
deer,380,0.25
mouse,381,40
squirrel,381,8
deer,381,0.25
mouse,382,40
squirrel,382,8
deer,382,0.25
mouse,383,40
squirrel,383,8
deer,383,0.25
mouse,384,40
squirrel,384,8
deer,384,0.25
mouse,385,40
squirrel,385,8
deer,385,0.25
mouse,386,40
squirrel,386,8
deer,386,0.25
mouse,387,40
squirrel,387,8
deer,387,0.25
mouse,388,40
squirrel,388,8
deer,388,0.25
mouse,389,40
squirrel,389,8
deer,389,0.25
mouse,390,40
squirrel,390,8
deer,390,0.25
mouse,391,40
squirrel,391,8
deer,391,0.25
mouse,392,40
squirrel,392,8
deer,392,0.25
mouse,393,40
squirrel,393,8
deer,393,0.25
mouse,394,40
squirrel,394,8
deer,394,0.25
mouse,395,40
squirrel,395,8
deer,395,0.25
mouse,396,40
squirrel,396,8
deer,396,0.25
mouse,397,40
squirrel,397,8
deer,397,0.25
mouse,398,40
squirrel,398,8
deer,398,0.25
mouse,399,40
squirrel,399,8
deer,399,0.25
mouse,400,40
squirrel,400,8
deer,400,0.25
mouse,401,40
squirrel,401,8
deer,401,0.25
mouse,402,40
squirrel,402,8
deer,402,0.25
mouse,403,40
squirrel,403,8
deer,403,0.25
mouse,404,40
squirrel,404,8
deer,404,0.25
mouse,405,40
squirrel,405,8
deer,405,0.25
mouse,406,40
squirrel,406,8
deer,406,0.25
mouse,407,40
squirrel,407,8
deer,407,0.25
mouse,408,40
squirrel,408,8
deer,408,0.25
mouse,409,40
squirrel,409,8
deer,409,0.25
mouse,410,40
squirrel,410,8
deer,410,0.25
mouse,411,40
squirrel,411,8
deer,411,0.25
mouse,412,40
squirrel,412,8
deer,412,0.25
mouse,413,40
squirrel,413,8
deer,413,0.25
mouse,414,40
squirrel,414,8
deer,414,0.25
mouse,415,40
squirrel,415,8
deer,415,0.25
mouse,416,40
squirrel,416,8
deer,416,0.25
mouse,417,40
squirrel,417,8
deer,417,0.25
mouse,418,40
squirrel,418,8
deer,418,0.25
mouse,419,40
squirrel,419,8
deer,419,0.25
mouse,420,40
squirrel,420,8
deer,420,0.25
mouse,421,40
squirrel,421,8
deer,421,0.25
mouse,422,40
squirrel,422,8
deer,422,0.25
mouse,423,40
squirrel,423,8
deer,423,0.25
mouse,424,40
squirrel,424,8
deer,424,0.25
mouse,425,40
squirrel,425,8
deer,425,0.25
mouse,426,40
squirrel,426,8
deer,426,0.25
mouse,427,40
squirrel,427,8
deer,427,0.25
mouse,428,40
squirrel,428,8
deer,428,0.25
mouse,429,40
squirrel,429,8
deer,429,0.25
mouse,430,40
squirrel,430,8
deer,430,0.25
mouse,431,40
squirrel,431,8
deer,431,0.25
mouse,432,40
